Name,PR_tt,PR_ts,Eff_tt(%),Eff_ts(%),Power(kW)
Eckardt A,1.896640066733189,1.8587283136197092,92.84989763464957,,283.99889718380206
Eckardt B,1.7869516278390636,1.7706107241656137,92.63700150286914,,255.90359579845702
Eckardt O,2.0625669662291384,1.8481052848985977,87.2486459024715,,405.5547082252587
